Get studenti,32:45.6
Citeste toti clientii din fisier,39:12.3
Adauga client,39:12.3
Get pensionari,39:12.3
Adauga client,39:12.3
Get studenti,39:12.3
Citeste toti clientii din fisier,39:36.2
Adauga client,39:36.2
Get pensionari,39:36.2
Adauga client,39:36.2
Get studenti,39:36.2
Citeste toti clientii din fisier,40:59.4
Adauga client,40:59.4
Get pensionari,40:59.4
Adauga client,40:59.4
Get studenti,40:59.4
Citeste toti clientii din fisier,42:13.7
Adauga client,42:13.7
Get pensionari,42:13.7
Adauga client,42:13.7
Get studenti,42:13.7
Citeste toti clientii din fisier,42:40.0
Adauga client,42:40.0
Get pensionari,42:40.0
Adauga client,42:40.0
Get studenti,42:40.0
Citeste toti clientii din fisier,44:41.2
Adauga client,44:41.2
Get pensionari,44:41.2
Adauga client,44:41.2
Get studenti,44:41.2
Citeste toti clientii din fisier,48:17.2
Adauga client,48:17.2
Get pensionari,48:17.2
Adauga client,48:17.2
Get studenti,48:17.2
Citeste toti clientii din fisier,49:59.0
Adauga client,49:59.0
Get pensionari,49:59.0
Adauga client,49:59.0
Get studenti,49:59.0
Citeste toti clientii din fisier,51:26.1
Adauga client,51:26.1
Get pensionari,51:26.1
Adauga client,51:26.1
Get studenti,51:26.1
Citeste toti clientii din fisier,51:47.9
Adauga client,51:47.9
Get pensionari,51:47.9
Adauga client,51:47.9
Get studenti,51:47.9
Citeste toti clientii din fisier,54:23.0
Adauga client,54:23.0
Get pensionari,54:23.0
Adauga client,54:23.0
Get studenti,54:23.0
Citeste toti clientii din fisier,55:21.9
Adauga client,55:21.9
Get pensionari,55:21.9
Adauga client,55:21.9
Get studenti,55:21.9
Citeste toti clientii din fisier,55:43.9
Adauga client,55:43.9
Get pensionari,55:43.9
Adauga client,55:43.9
Get studenti,55:43.9
Citeste toti clientii din fisier,56:24.1
Adauga client,56:24.1
Get pensionari,56:24.1
Adauga client,56:24.1
Get studenti,56:24.1
Citeste toti clientii din fisier,03:40.5
Adauga client,03:40.5
Get pensionari,03:40.5
Adauga client,03:40.5
Get studenti,03:40.5
Citeste toti clientii din fisier,12:53.6
Adauga client,12:53.6
Get pensionari,12:53.6
Adauga client,12:53.6
Get studenti,12:53.6
Citeste toti clientii din fisier,13:05.1
Adauga client,13:05.1
Get pensionari,13:05.1
Adauga client,13:05.1
Get studenti,13:05.1
Citeste toti clientii din fisier,24:55.1
Adauga client,24:55.1
Get pensionari,24:55.1
Adauga client,24:55.1
Get studenti,24:55.2
Get copii,24:55.2
Citeste toti clientii din fisier,2020-06-04 16:47:24.083
Adauga client,2020-06-04 16:47:24.094
Get pensionari,2020-06-04 16:47:24.095
Adauga client,2020-06-04 16:47:24.095
Get studenti,2020-06-04 16:47:24.095
Get copii,2020-06-04 16:47:24.096
